regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00330,Munkkiniemi (Helsinki),Helsinki,91,Kokonaislukema (med.),61.23306838291936,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00340,Kuusisaari - Lehtisaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),57.97210552627426,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00340,Kuusisaari - Lehtisaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),74.00705967712565,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00340,Kuusisaari - Lehtisaari (Helsinki),Helsinki,91,Työttömät (med.),78.73857852926743,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00340,Kuusisaari - Lehtisaari (Helsinki),Helsinki,91,Kokonaislukema (med.),70.23924791088912,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00350,Munkkivuori - Niemenmäki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),59.95543978342038,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00350,Munkkivuori - Niemenmäki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),78.25880434376504,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00350,Munkkivuori - Niemenmäki (Helsinki),Helsinki,91,Työttömät (med.),108.1193905015197,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00350,Munkkivuori - Niemenmäki (Helsinki),Helsinki,91,Kokonaislukema (med.),82.1112115429017,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00360,Pajamäki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),73.88382778011332,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00360,Pajamäki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),77.58357041675711,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00360,Pajamäki (Helsinki),Helsinki,91,Työttömät (med.),149.7558902956062,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00360,Pajamäki (Helsinki),Helsinki,91,Kokonaislukema (med.),100.40776283082555,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00370,Reimarla (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),101.9549435763828,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00370,Reimarla (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),85.3568965263677,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00370,Reimarla (Helsinki),Helsinki,91,Työttömät (med.),134.8370846389975,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00370,Reimarla (Helsinki),Helsinki,91,Kokonaislukema (med.),107.38297491391602,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00380,Pitäjänmäen yritysalue (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),96.1418524510405,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00380,Pitäjänmäen yritysalue (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),77.73711684868807,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00380,Pitäjänmäen yritysalue (Helsinki),Helsinki,91,Työttömät (med.),165.5098683484257,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00380,Pitäjänmäen yritysalue (Helsinki),Helsinki,91,Kokonaislukema (med.),113.12961254938476,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00390,Konala (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),103.6231274161691,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00390,Konala (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),79.71123369306005,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00390,Konala (Helsinki),Helsinki,91,Työttömät (med.),139.2581308168992,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00390,Konala (Helsinki),Helsinki,91,Kokonaislukema (med.),107.53083064204277,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00400,Pohjois-Haaga (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),102.865467871423,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00400,Pohjois-Haaga (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),88.87477253683254,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00400,Pohjois-Haaga (Helsinki),Helsinki,91,Työttömät (med.),140.6870285050396,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00400,Pohjois-Haaga (Helsinki),Helsinki,91,Kokonaislukema (med.),110.80908963776506,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00410,Malminkartano (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),118.3365488875902,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00410,Malminkartano (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),111.4616461892618,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00410,Malminkartano (Helsinki),Helsinki,91,Työttömät (med.),163.9725708820705,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00410,Malminkartano (Helsinki),Helsinki,91,Kokonaislukema (med.),131.2569219863075,90,Helsingin kaupunki
